Date,Price
04-Aug-20,3306.510 
03-Aug-20,3294.610 
31-Jul-20,3271.120 
30-Jul-20,3246.220 
29-Jul-20,3258.440 
28-Jul-20,3218.440 
27-Jul-20,3239.410 
24-Jul-20,3215.630 
23-Jul-20,3235.660 
22-Jul-20,3276.020 
21-Jul-20,3257.300 
20-Jul-20,3251.840 
17-Jul-20,3224.730 
16-Jul-20,3215.570 
15-Jul-20,3226.560 
14-Jul-20,3197.520 
13-Jul-20,3155.220 
10-Jul-20,3185.040 
09-Jul-20,3152.050 
08-Jul-20,3169.940 
07-Jul-20,3145.320 
06-Jul-20,3179.720 
02-Jul-20,3130.010 
01-Jul-20,3115.860 
30-Jun-20,3100.290 
29-Jun-20,3053.240 
26-Jun-20,3009.050 
25-Jun-20,3083.760 
24-Jun-20,3050.330 
23-Jun-20,3131.290 
22-Jun-20,3117.860 
19-Jun-20,3097.740 
18-Jun-20,3115.340 
17-Jun-20,3113.490 
16-Jun-20,3124.740 
15-Jun-20,3066.590 
12-Jun-20,3041.310 
11-Jun-20,3002.100 
10-Jun-20,3190.140 
09-Jun-20,3207.180 
08-Jun-20,3232.390 
05-Jun-20,3193.930 
04-Jun-20,3112.350 
03-Jun-20,3122.870 
02-Jun-20,3080.820 
01-Jun-20,3055.730 
29-May-20,3044.310 
28-May-20,3029.730 
27-May-20,3036.130 
26-May-20,2991.770 
22-May-20,2955.450 
21-May-20,2948.510 
20-May-20,2971.610 
19-May-20,2922.940 
18-May-20,2953.910 
15-May-20,2863.700 
14-May-20,2852.500 
13-May-20,2820.000 
12-May-20,2870.120 
11-May-20,2930.320 
08-May-20,2929.800 
07-May-20,2881.190 
06-May-20,2848.420 
05-May-20,2868.440 
04-May-20,2842.740 
01-May-20,2830.710 
30-Apr-20,2912.430 
29-Apr-20,2939.510 
28-Apr-20,2863.390 
27-Apr-20,2878.480 
24-Apr-20,2836.740 
23-Apr-20,2797.800 
22-Apr-20,2799.310 
21-Apr-20,2736.560 
20-Apr-20,2823.160 
17-Apr-20,2874.560 
16-Apr-20,2799.550 
15-Apr-20,2783.360 
14-Apr-20,2846.060 
13-Apr-20,2761.630 
09-Apr-20,2789.820 
08-Apr-20,2749.980 
07-Apr-20,2659.410 
